00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
50	50	52	54	57	5B	60	67	71	7E	7F	7F	7F	7F	7F	7F
51	51	53	55	58	5C	61	69	73	7F	7F	7F	7F	7F	7F	7F
52	52	54	56	59	5D	63	6A	74	7F	7F	7F	7F	7F	7F	7F
53	53	55	57	5A	5E	64	6B	75	7F	7F	7F	7F	7F	7F	7F
54	54	56	58	5B	5F	65	6D	77	7F	7F	7F	7F	7F	7F	7F
55	55	57	59	5C	60	66	6E	78	7F	7F	7F	7F	7F	7F	7F
56	56	58	5A	5D	62	67	6F	7A	7F	7F	7F	7F	7F	7F	7F
57	57	59	5B	5E	63	69	71	7B	7F	7F	7F	7F	7F	7F	7F
58	58	5A	5C	5F	64	6A	72	7C	7F	7F	7F	7F	7F	7F	7F
59	59	5B	5D	60	65	6B	73	7E	7F	7F	7F	7F	7F	7F	7F
5A	5A	5C	5E	61	66	6C	74	7F	7F	7F	7F	7F	7F	7F	7F
5B	5B	5D	5F	62	67	6E	76	7F	7F	7F	7F	7F	7F	7F	7F
5C	5C	5E	60	64	68	6F	77	7F	7F	7F	7F	7F	7F	7F	7F
5D	5D	5F	61	65	69	70	78	7F	7F	7F	7F	7F	7F	7F	7F
5E	5E	60	62	66	6B	71	7A	7F	7F	7F	7F	7F	7F	7F	7F
5F	5F	61	63	67	6C	72	7B	7F	7F	7F	7F	7F	7F	7F	7F
60	60	62	64	68	6D	74	7C	7F	7F	7F	7F	7F	7F	7F	7F
61	61	63	65	69	6E	75	7D	7F	7F	7F	7F	7F	7F	7F	7F
62	62	64	66	6A	6F	76	7F	7F	7F	7F	7F	7F	7F	7F	7F
63	63	65	67	6B	70	77	7F	7F	7F	7F	7F	7F	7F	7F	7F
64	65	66	68	6C	71	78	7F	7F	7F	7F	7F	7F	7F	7F	7F
65	66	67	6A	6D	73	7A	7F	7F	7F	7F	7F	7F	7F	7F	7F
66	67	68	6B	6E	74	7B	7F	7F	7F	7F	7F	7F	7F	7F	7F
67	68	69	6C	6F	75	7C	7F	7F	7F	7F	7F	7F	7F	7F	7F
68	69	6A	6D	71	76	7D	7F	7F	7F	7F	7F	7F	7F	7F	7F
69	6A	6B	6E	72	77	7E	7F	7F	7F	7F	7F	7F	7F	7F	7F
6A	6B	6C	6F	73	78	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
6B	6C	6D	70	74	79	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
6C	6D	6E	71	75	7A	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
6D	6E	6F	72	76	7C	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
6E	6F	70	73	77	7D	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
6F	70	71	74	78	7E	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
70	71	72	75	79	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
71	72	73	76	7A	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
72	73	74	77	7B	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F	7F
